station,chla_surf,diss_o_surf,ph_surf,salinity_surf,turbidity_surf,temp_surf,suspended_solids_surf,nitrates_surf,chla_bott,diss_o_bott,ph_bott,salinity_bott,turbidity_bott,temp_bott,suspended_solids_bott,nitrates_bott,temp_delta,latitude,longitude,depth_m
SM2,1.731304347826087,6.801739130434783,8.040869565217392,32.63478260869565,6.118260869565217,19.905217391304348,4.368695652173913,0.11660869565217391,1.6860869565217391,7.055652173913043,8.044347826086957,32.69652173913043,8.10695652173913,19.83739130434783,7.035652173913044,0.1133913043478261,-0.06782608695652173,22.22411667,114.1781833,14
SM20,2.4355555555555553,6.806666666666667,7.983333333333333,32.620000000000005,10.088888888888889,20.263333333333335,9.816666666666666,0.12644444444444444,2.4899999999999998,7.095555555555555,7.985555555555556,32.635555555555555,12.73,20.19222222222222,15.297777777777778,0.1262222222222222,-0.07111111111111115,22.17413333,113.8822,7
SM3,1.8495652173913042,6.786086956521739,7.9634782608695645,32.56956521739131,6.065217391304348,20.03391304347826,3.8921739130434783,0.14095652173913045,1.8504347826086958,7.153913043478261,8.030434782608696,32.64782608695652,7.573043478260869,19.92782608695652,6.364347826086957,0.1231304347826087,-0.10608695652173933,22.22545,114.1496667,33
SM4,2.548695652173913,6.732173913043479,8.017391304347827,32.487826086956524,5.675652173913043,20.01478260869565,4.000869565217392,0.15826086956521737,2.187826086956522,7.005217391304348,8.02695652173913,32.59130434782609,6.064347826086956,19.903478260869566,5.3765217391304345,0.14591304347826087,-0.11130434782608681,22.21263333,114.1385833,11
SM5,2.0078260869565216,6.812173913043478,8.059130434782608,32.62608695652174,6.615652173913043,19.977391304347826,5.926956521739131,0.11043478260869564,2.0556521739130433,7.095652173913043,8.065217391304348,32.65652173913043,8.391304347826088,19.77304347826087,8.402608695652173,0.1082608695652174,-0.2043478260869566,22.20235,114.1121333,8
SM6,2.105982905982906,6.915384615384616,8.058974358974359,32.52478632478633,6.751282051282051,19.88205128205128,5.746153846153846,0.1147008547008547,1.8145299145299145,7.161538461538461,8.064957264957265,32.67179487179487,9.523076923076923,19.7,9.041880341880344,0.10743589743589743,-0.18205128205128218,22.19166667,114.07905,14
SM7,3.232173913043478,6.878260869565217,8.044347826086957,32.43043478260869,6.656521739130435,20.07913043478261,6.168695652173913,0.17973913043478262,3.267826086956522,7.076521739130435,8.039130434782608,32.536521739130436,8.44,19.819130434782608,8.171304347826087,0.17130434782608694,-0.2600000000000001,22.229,114.07455,8
SM9,2.7738738738738737,6.585585585585585,7.969369369369369,32.26486486486487,7.151351351351351,20.306306306306308,5.230630630630631,0.2547747747747748,2.245945945945946,6.687387387387387,7.967567567567567,32.32792792792793,8.085585585585585,20.14864864864865,7.84054054054054,0.25783783783783787,-0.15765765765765746,22.27366667,114.0670667,8
ST1,4.161904761904762,5.6952380952380945,7.833333333333333,32.4,8.295238095238094,22.04285714285714,8.861904761904762,0.20714285714285713,4.109523809523809,6.461904761904761,7.828571428571429,32.44761904761905,9.22857142857143,21.95714285714286,12.09047619047619,0.21142857142857144,-0.08571428571428558,22.20861667,114.0248833,6
ST3,5.814285714285714,6.409523809523809,7.828571428571429,32.27619047619047,10.238095238095237,22.133333333333333,9.238095238095237,0.23142857142857146,5.857142857142857,7.0,7.833333333333333,32.304761904761904,9.861904761904762,21.995238095238097,17.023809523809526,0.24238095238095236,-0.1380952380952377,22.24556667,114.0321333,6
TM2,13.815151515151515,7.0,8.033939393939393,30.62787878787879,4.452121212121212,19.85878787878788,5.007878787878788,0.25927272727272727,9.303636363636363,6.913939393939394,8.038181818181817,31.26727272727273,5.152727272727273,19.91030303030303,6.710303030303031,0.21309090909090908,0.051515151515151555,22.4124,114.2180833,4
TM3,12.438378378378378,7.991891891891892,8.235135135135135,31.177837837837835,4.417837837837838,20.143783783783782,3.9724324324324325,0.17389189189189191,6.264864864864865,6.793513513513513,8.128648648648648,31.95351351351351,3.8967567567567567,19.96,4.625945945945945,0.12983783783783784,-0.18378378378378374,22.44761667,114.2030167,7
TM4,13.198901098901098,7.932967032967032,8.205494505494507,31.224175824175827,4.117582417582417,19.900549450549452,3.872527472527472,0.14543956043956044,5.827472527472527,6.638461538461539,8.103846153846154,31.96153846153846,3.8802197802197806,19.825824175824177,3.9181318681318684,0.12252747252747254,-0.07472527472527472,22.43273333,114.2196,8
TM5,4.713043478260869,7.029192546583851,8.132919254658386,31.59751552795031,4.478260869565218,20.053416149068322,4.4838509316770185,0.08782608695652175,4.946583850931677,7.050310559006211,8.11552795031056,31.78198757763975,5.761490683229813,19.93229813664596,4.950931677018634,0.08192546583850932,-0.12111801242236027,22.4571,114.2242667,4
TM6,7.894505494505494,7.61043956043956,8.213736263736264,31.568681318681318,3.5554945054945057,19.923626373626373,3.0027472527472527,0.094010989010989,3.7412087912087912,6.601098901098902,8.116483516483516,32.35219780219781,4.1450549450549445,19.694505494505496,3.508241758241758,0.08862637362637361,-0.22912087912087925,22.44385,114.2417667,12
TM7,4.906024096385542,7.384939759036145,8.192168674698795,31.771084337349397,3.616867469879518,19.91566265060241,2.6765060240963856,0.07873493975903614,3.289156626506024,6.7307228915662645,8.118072289156625,32.35,4.401204819277108,19.690361445783132,4.146385542168675,0.07722891566265061,-0.2253012048192771,22.44845,114.2676167,11
TM8,3.4461538461538463,7.307142857142858,8.183516483516485,32.07637362637362,3.360989010989011,19.74120879120879,2.689010989010989,0.06593406593406594,1.8983516483516483,7.004395604395604,8.144505494505495,32.44340659340659,5.170879120879121,19.446703296703298,4.091758241758242,0.07280219780219781,-0.2945054945054945,22.4732,114.30005,22
TT1,5.1952380952380945,5.957142857142857,7.923809523809524,31.433333333333334,3.8666666666666667,21.666666666666668,4.366666666666667,0.0838095238095238,5.4523809523809526,5.495238095238095,7.823809523809524,32.00952380952381,4.0285714285714285,21.847619047619048,4.661904761904761,0.09666666666666665,0.1809523809523808,22.4545,114.21195,6
