"Water Control Zone","Station","Dates","Sample No","Depth","Chlorophyll-a (μg/L)","Dissolved Oxygen (mg/L)","pH","Salinity (psu)","Turbidity (NTU)","Temperature (°C)","Suspended Solids (mg/L)","Total Inorganic Nitrogen (mg/L)"
"Tolo Harbour and Channel","TM2","1987-01-07","1","Bottom Water","37","5.9","8.3","31.2","4.6","18.7","38","0.24"
"Tolo Harbour and Channel","TM2","1987-01-21","1","Surface Water","1","5","8.2","31","2.4","18.2","1","0.33"
"Tolo Harbour and Channel","TM2","1987-01-21","1","Bottom Water","1.9","4.9","8.2","31","2.5","18.3","1.5","0.37"
"Tolo Harbour and Channel","TM2","1987-02-04","1","Surface Water","19","8.9","8.3","30.3","3.2","16.9","2.5","0.67"
"Tolo Harbour and Channel","TM2","1987-02-04","1","Bottom Water","19","8.7","8.2","30.3","2.8","16.9","24","0.64"
"Tolo Harbour and Channel","TM2","1987-02-17","1","Surface Water","29","6.7","8.4","30","3.8","19.2","1","0.49"
"Tolo Harbour and Channel","TM2","1987-02-17","1","Bottom Water","2.3","5.3","8.1","30.8","3.5","19.1","1.5","0.48"
"Tolo Harbour and Channel","TM2","1987-03-04","1","Surface Water","4.2","6.7","8.1","30.2","3.3","18.3","8.5","0.83"
"Tolo Harbour and Channel","TM2","1987-03-04","1","Bottom Water","3.8","5.6","8","30.3","3.2","18.3","7","0.33"
"Tolo Harbour and Channel","TM2","1987-03-18","1","Surface Water","2.3","5.5","8.1","25.4","23","20.3","22","0.7"
"Tolo Harbour and Channel","TM2","1987-03-18","1","Bottom Water","0.8","5.3","8.1","30.4","11.5","20.3","8","0.28"
"Tolo Harbour and Channel","TM2","1987-04-01","1","Surface Water","19","7.8","8.3","29.8","4.2","21","13","0.55"
"Tolo Harbour and Channel","TM2","1987-04-01","1","Middle Water","0.7","6.8","8.3","30","3.4","20.9","5.5","0.62"
"Tolo Harbour and Channel","TM2","1987-04-01","1","Bottom Water","<0.2","6.1","8.2","30.3","3.1","20.8","4.5","0.36"
"Tolo Harbour and Channel","TM2","1987-04-15","1","Surface Water","11","5.4","7.5","27.9","3.8","19.8","4","0.95"
"Tolo Harbour and Channel","TM2","1987-04-15","1","Middle Water","2.7","5.7","7.8","30.3","1","20.3","3","0.46"
"Tolo Harbour and Channel","TM2","1987-04-15","1","Bottom Water","2.1","4.8","7.8","30.2","0.6","20.7","1.5","0.43"
"Tolo Harbour and Channel","TM2","1987-04-29","1","Surface Water","32","7.4","8.3","29.9","2.8","23.4","9","0.04"
"Tolo Harbour and Channel","TM2","1987-04-29","1","Bottom Water","19","5.1","8.2","30.6","2.1","23.4","6.5","0.03"
"Tolo Harbour and Channel","TM2","1987-05-13","1","Surface Water","22","12.9","8","29.7","18.9","27.2","20","0.27"
"Tolo Harbour and Channel","TM2","1987-05-13","1","Bottom Water","12","6.1","7.9","29.9","12.3","24.4","11","0.32"
"Tolo Harbour and Channel","TM2","1987-05-27","1","Surface Water","26","5.2","8.2","25.1","4.3","25.8","9","0.42"
"Tolo Harbour and Channel","TM2","1987-05-27","1","Bottom Water","12","2.8","8","29.8","2.6","24.7","4.5","0.45"
"Tolo Harbour and Channel","TM2","1987-06-10","1","Surface Water","12","6.2","8.2","25.9","2.9","25.2","5.5","0.53"
"Tolo Harbour and Channel","TM2","1987-06-10","1","Bottom Water","2.3","3","8.2","29.6","1.4","25.4","2.5","0.27"
"Tolo Harbour and Channel","TM2","1987-06-24","1","Surface Water","2.7","4","7.9","29","3.1","26.6","3.5","0.18"
"Tolo Harbour and Channel","TM2","1987-06-24","1","Bottom Water","2.1","4.2","7.9","29.5","2.9","26.3","4","0.13"
"Tolo Harbour and Channel","TM2","1987-07-09","1","Surface Water","26","8.1","8.5","27.1","3.9","29.3","13","0.15"
"Tolo Harbour and Channel","TM2","1987-07-09","1","Bottom Water","6.5","5.5","8.2","29.5","3.4","29.8","4","0.22"
"Tolo Harbour and Channel","TM2","1987-07-22","1","Surface Water","14","5.5","8.2","31.5","5","29","10","0.03"
"Tolo Harbour and Channel","TM2","1987-07-22","1","Bottom Water","11","5.2","8.1","31.8","2.7","28.9","12","0.03"
