"Water Control Zone","Station","Dates","Sample No","Depth","Chlorophyll-a (μg/L)","Dissolved Oxygen (mg/L)","pH","Salinity (psu)","Turbidity (NTU)","Temperature (°C)","Suspended Solids (mg/L)","Total Inorganic Nitrogen (mg/L)"
"Tolo Harbour and Channel","TM4","2006-04-03","1","Bottom Water","11","7.9","8","32.4","8.3","19","1.6","0.02"
"Tolo Harbour and Channel","TM4","2006-05-08","1","Surface Water","4.7","6.5","8","29.3","3","26.5","1.6","0.03"
"Tolo Harbour and Channel","TM4","2006-05-08","1","Middle Water","8.8","6.1","8","31.1","3.1","25.3","1.5","0.02"
"Tolo Harbour and Channel","TM4","2006-05-08","1","Bottom Water","5.5","5.9","8","32.3","2.9","24.2","1.1","0.02"
"Tolo Harbour and Channel","TM4","2006-06-05","1","Surface Water","8","6.2","7.6","31.6","2.4","25.5","1.2","0.1"
"Tolo Harbour and Channel","TM4","2006-06-05","1","Middle Water","4.4","4.9","8","32.2","3","25.2","1.5","0.13"
"Tolo Harbour and Channel","TM4","2006-06-05","1","Bottom Water","1.9","4.5","8","32.6","3.7","24.9","4.1","0.16"
"Tolo Harbour and Channel","TM4","2006-07-17","1","Surface Water","2.9","4.5","7.8","32.7","15.1","24","1.6","0.21"
"Tolo Harbour and Channel","TM4","2006-07-17","1","Middle Water","3.3","4.6","7.8","33.1","14.6","23.8","0.8","0.22"
"Tolo Harbour and Channel","TM4","2006-07-17","1","Bottom Water","2.4","4.3","7.8","34","15.6","22.8","1.3","0.19"
"Tolo Harbour and Channel","TM4","2006-08-14","1","Surface Water","7.6","8.9","8.5","24.2","10.4","30.2","1.6","0.03"
"Tolo Harbour and Channel","TM4","2006-08-14","1","Middle Water","3.8","8.4","8.3","27.8","9.7","27.9","0.8","0.07"
"Tolo Harbour and Channel","TM4","2006-08-14","1","Bottom Water","1.5","6.5","8.1","28.3","9.5","27.4","0.6","0.17"
"Tolo Harbour and Channel","TM4","2006-09-18","1","Surface Water","25","10.9","8.4","23.4","11.9","26.9","2.1","0.03"
"Tolo Harbour and Channel","TM4","2006-09-18","1","Middle Water","19","10.3","8.1","31.8","10.4","25.4","2.6","0.04"
"Tolo Harbour and Channel","TM4","2006-09-18","1","Bottom Water","3.7","7.5","8","32.5","9.2","25.2","1","0.11"
"Tolo Harbour and Channel","TM4","2006-10-16","1","Surface Water","7.8","6.4","8","29.8","10.5","27.9","1","0.08"
"Tolo Harbour and Channel","TM4","2006-10-16","1","Middle Water","7.6","6.5","8","31.5","9.8","27.8","1.7","0.06"
"Tolo Harbour and Channel","TM4","2006-10-16","1","Bottom Water","5.3","5","7.8","32.2","9.7","27.2","1.2","0.04"
"Tolo Harbour and Channel","TM4","2006-11-23","1","Surface Water","8","6.2","8","31.7","10.7","24.1","1.8","0.11"
"Tolo Harbour and Channel","TM4","2006-11-23","1","Middle Water","2.8","5.9","8","32.2","10","24.3","1.2","0.09"
"Tolo Harbour and Channel","TM4","2006-11-23","1","Bottom Water","2.2","5.2","8","32.4","10.2","24.4","0.8","0.08"
"Tolo Harbour and Channel","TM4","2006-12-13","1","Surface Water","9","7.1","7.9","32.1","11.2","22","1.4","0.05"
"Tolo Harbour and Channel","TM4","2006-12-13","1","Middle Water","12","7.4","7.9","32.1","9.8","22","1.4","0.05"
"Tolo Harbour and Channel","TM4","2006-12-13","1","Bottom Water","7.6","7.3","7.9","32.4","10.3","22.1","7.1","0.06"
"Tolo Harbour and Channel","TM4","2007-01-11","1","Surface Water","7.6","6.6","7.6","32.5","12.8","17.6","2.3","0.04"
"Tolo Harbour and Channel","TM4","2007-01-11","1","Middle Water","7.7","7.2","7.6","32.5","10.3","17.6","2.2","0.03"
"Tolo Harbour and Channel","TM4","2007-01-11","1","Bottom Water","5.9","7.2","7.6","32.9","10.2","17.8","2.4","0.04"
"Tolo Harbour and Channel","TM4","2007-02-07","1","Surface Water","8","8.7","8.3","32.2","8.3","19.5","1.8","0.02"
"Tolo Harbour and Channel","TM4","2007-02-07","1","Middle Water","4.1","8.2","8.3","32.7","8.2","17.7","1.7","0.01"
"Tolo Harbour and Channel","TM4","2007-02-07","1","Bottom Water","4.5","7.1","8.2","32.9","8.4","17.1","1","0.02"
"Tolo Harbour and Channel","TM4","2007-03-29","1","Surface Water","9.6","8.7","8.2","32.4","8.6","21.5","2","0.02"
"Tolo Harbour and Channel","TM4","2007-03-29","1","Middle Water","11","8.3","8.1","32.6","8.7","20.5","1.6","0.06"
"Tolo Harbour and Channel","TM4","2007-03-29","1","Bottom Water","6.1","5.1","8","33.1","9.3","19.3","2.9","0.11"
"Tolo Harbour and Channel","TM4","2007-04-20","1","Surface Water","5.3","7.9","8.4","32.8","7.8","22.2","1.4","0.03"
"Tolo Harbour and Channel","TM4","2007-04-20","1","Middle Water","5","8.1","8.4","33","7.3","22.1","2.4","0.02"
"Tolo Harbour and Channel","TM4","2007-04-20","1","Bottom Water","3.2","7.2","8.3","33.1","7.4","21.5","0.5","0.04"
"Tolo Harbour and Channel","TM4","2007-05-21","1","Surface Water","0.6","5.5","8.1","28.3","15.7","25.1","0.7","0.16"
"Tolo Harbour and Channel","TM4","2007-05-21","1","Middle Water","0.9","5.4","8","31.7","15.9","25.8","1.4","0.11"
"Tolo Harbour and Channel","TM4","2007-05-21","1","Bottom Water","1.1","5.1","8","32.4","15.6","26.1","1.1","0.05"
"Tolo Harbour and Channel","TM4","2007-06-14","1","Surface Water","6","4.1","8","32.6","17.3","25.6","3.4","0.12"
"Tolo Harbour and Channel","TM4","2007-06-14","1","Middle Water","5.1","4.3","8","32.8","17.7","25.5","1.4","0.13"
"Tolo Harbour and Channel","TM4","2007-06-14","1","Bottom Water","3.5","1.6","8","34","18","24.7","1.9","0.22"
"Tolo Harbour and Channel","TM4","2007-07-26","1","Surface Water","3.2","7.2","7.6","33.3","7.9","29.9","1.2","0.05"
"Tolo Harbour and Channel","TM4","2007-07-26","1","Middle Water","2","6.7","7.6","33.2","7.8","28.2","0.6","0.06"
"Tolo Harbour and Channel","TM4","2007-07-26","1","Bottom Water","3.4","3.5","7.7","34","11","24.4","0.9","0.08"
"Tolo Harbour and Channel","TM4","2007-08-17","1","Surface Water","17","7.1","8.3","29.9","9.8","28.1","1.8","0.04"
"Tolo Harbour and Channel","TM4","2007-08-17","1","Middle Water","17","7.1","8.2","30.7","9.8","27.9","2.4","0.05"
"Tolo Harbour and Channel","TM4","2007-08-17","1","Bottom Water","17","5","8.1","31.7","9.3","27.7","1.9","0.05"
"Tolo Harbour and Channel","TM4","2007-09-20","1","Surface Water","2.8","5.8","8.2","31.8","9.1","28","1.6","0.04"
"Tolo Harbour and Channel","TM4","2007-09-20","1","Middle Water","3.6","5.8","8.2","31.9","9.3","28","1.2","0.04"
"Tolo Harbour and Channel","TM4","2007-09-20","1","Bottom Water","4.2","5.7","8.2","31.9","8.9","27.9","0.9","0.05"
"Tolo Harbour and Channel","TM4","2007-10-25","1","Surface Water","4.4","8.1","8","31.4","7.8","26.9","2","0.03"
"Tolo Harbour and Channel","TM4","2007-10-25","1","Middle Water","4.1","7.9","8","31.9","7.5","26.6","3.4","0.03"
"Tolo Harbour and Channel","TM4","2007-10-25","1","Bottom Water","5.1","6.2","8","32.3","9.8","26.5","1.6","0.04"
"Tolo Harbour and Channel","TM4","2007-11-19","1","Surface Water","8.1","7.7","8.3","31.9","4.4","23.6","1.7","0.03"
"Tolo Harbour and Channel","TM4","2007-11-19","1","Middle Water","7.8","7.8","8.3","32","4.4","23.6","1.8","0.03"
"Tolo Harbour and Channel","TM4","2007-11-19","1","Bottom Water","6.4","7.3","8.3","32.3","4.4","23.6","2","0.03"
"Tolo Harbour and Channel","TM4","2007-12-10","1","Surface Water","3","6.2","8.1","31.9","6.4","21","0.8","0.05"
"Tolo Harbour and Channel","TM4","2007-12-10","1","Middle Water","2.9","6.2","8.1","32.3","6.4","20.7","1.3","0.05"
"Tolo Harbour and Channel","TM4","2007-12-10","1","Bottom Water","2.2","6","8.1","32.4","6.9","20.6","2","0.08"
"Tolo Harbour and Channel","TM4","2008-01-21","1","Surface Water","13","7.7","8.3","31.6","6.3","18.5","2.6","0.03"
"Tolo Harbour and Channel","TM4","2008-01-21","1","Middle Water","13","7.9","8.3","31.6","5.9","18.5","2.4","0.02"
"Tolo Harbour and Channel","TM4","2008-01-21","1","Bottom Water","14","7.7","8.3","31.6","6.5","18.4","2.8","0.03"
"Tolo Harbour and Channel","TM4","2008-02-21","1","Surface Water","4.4","9.7","8.2","30.9","7","15.6","1.7","0.05"
"Tolo Harbour and Channel","TM4","2008-02-21","1","Middle Water","3.8","9.9","8.2","31.5","7.1","15.3","1.4","0.02"
"Tolo Harbour and Channel","TM4","2008-02-21","1","Bottom Water","3.3","9.9","8.3","31.5","6.8","14.7","1","0.02"
"Tolo Harbour and Channel","TM4","2008-03-12","1","Surface Water","1.4","8.9","8","30.7","7.3","19.2","2","0.17"
"Tolo Harbour and Channel","TM4","2008-03-12","1","Middle Water","1.3","8.9","8","31.4","6.5","17.9","0.7","0.07"
"Tolo Harbour and Channel","TM4","2008-03-12","1","Bottom Water","1.8","8.7","8","31.7","7.3","16.4","0.9","0.06"
"Tolo Harbour and Channel","TM4","2008-04-11","1","Surface Water","10","8.6","8.2","31.6","8.1","22.3","1.5","0.04"
"Tolo Harbour and Channel","TM4","2008-04-11","1","Middle Water","23","8.9","8.3","31.9","9.5","20.8","3.6","0.08"
"Tolo Harbour and Channel","TM4","2008-04-11","1","Bottom Water","14","6.1","8.2","32.3","8.4","19.6","1.6","0.07"
"Tolo Harbour and Channel","TM4","2008-05-08","1","Surface Water","8.4","8.7","8.6","30","5.6","26.2","2.6","0.03"
"Tolo Harbour and Channel","TM4","2008-05-08","1","Middle Water","9.7","7.6","8.4","31.3","5.4","24.4","2.2","0.03"
"Tolo Harbour and Channel","TM4","2008-05-08","1","Bottom Water","6.7","3.7","8.1","32.6","5.5","22.7","1.6","0.04"
"Tolo Harbour and Channel","TM4","2008-06-20","1","Surface Water","15","10","8.8","26.5","22.8","27.1","5.4","0.05"
"Tolo Harbour and Channel","TM4","2008-06-20","1","Middle Water","8.8","3.1","8.3","30.9","16.1","26.1","3.2","0.1"
"Tolo Harbour and Channel","TM4","2008-06-20","1","Bottom Water","2.1","1","8.1","33.1","16.6","25.3","2.3","0.21"
"Tolo Harbour and Channel","TM4","2008-07-24","1","Surface Water","3.2","7.8","8.4","30.9","6.1","28.6","2.4","0.02"
"Tolo Harbour and Channel","TM4","2008-07-24","1","Middle Water","19","4.3","8.4","33.5","6.3","24.5","2.2","0.04"
"Tolo Harbour and Channel","TM4","2008-07-24","1","Bottom Water","6.8","0.7","8.2","33.9","6.3","23.6","1.2","0.19"
"Tolo Harbour and Channel","TM4","2008-08-14","1","Surface Water","3","7.8","8.5","29.3","10.8","28.9","1.9","0.03"
"Tolo Harbour and Channel","TM4","2008-08-14","1","Middle Water","2","8","8.5","29.7","10.3","28.7","2","0.03"
"Tolo Harbour and Channel","TM4","2008-08-14","1","Bottom Water","2.4","6.6","8.4","31","9","27.7","1.4","0.04"
"Tolo Harbour and Channel","TM4","2008-09-04","1","Surface Water","6.9","8.1","8.2","30.9","8.8","29.3","3","0.02"
"Tolo Harbour and Channel","TM4","2008-09-04","1","Middle Water","3.9","7.7","8.1","32.3","6.6","28.1","2.2","0.01"
"Tolo Harbour and Channel","TM4","2008-09-04","1","Bottom Water","4","4.4","8","32.8","6.3","26.4","2.2","0.06"
"Tolo Harbour and Channel","TM4","2008-10-24","1","Surface Water","3.5","5.7","8.3","30.7","1.3","27.8","2.1","0.01"
"Tolo Harbour and Channel","TM4","2008-10-24","1","Middle Water","3.1","5.2","8.2","30.8","1.2","27.8","2","0.04"
"Tolo Harbour and Channel","TM4","2008-10-24","1","Bottom Water","3.4","1.8","8","31.6","1.3","27.4","2","0.08"
"Tolo Harbour and Channel","TM4","2008-11-24","1","Surface Water","3.2","7.1","8.4","31.3","1","23.2","2.2","0.01"
"Tolo Harbour and Channel","TM4","2008-11-24","1","Middle Water","3.4","7.4","8.4","31.3","1.3","23.2","1.7","0.01"
"Tolo Harbour and Channel","TM4","2008-11-24","1","Bottom Water","3.3","6.6","8.3","32.1","1.5","23.2","2.6","0.02"
"Tolo Harbour and Channel","TM4","2008-12-08","1","Surface Water","7.4","8.1","8.2","31.9","1.3","20","2.4","0.02"
"Tolo Harbour and Channel","TM4","2008-12-08","1","Middle Water","8.6","8.1","8.2","31.9","1.3","19.9","1.8","0.01"
"Tolo Harbour and Channel","TM4","2008-12-08","1","Bottom Water","4","7.8","8.2","32.1","1.9","20","2.6","0.02"
"Tolo Harbour and Channel","TM4","2009-01-17","1","Surface Water","6.1","7.6","8","32","7.3","16.2","1.8","0.04"
"Tolo Harbour and Channel","TM4","2009-01-17","1","Middle Water","4.3","8.1","8","32.4","7.4","16.1","2.2","0.03"
"Tolo Harbour and Channel","TM4","2009-01-17","1","Bottom Water","3.7","8.4","8","32.8","7.5","16.3","2","0.03"
"Tolo Harbour and Channel","TM4","2009-02-12","1","Surface Water","1.4","5.6","8","32.6","0.8","19.7","1.4","0.02"
"Tolo Harbour and Channel","TM4","2009-02-12","1","Middle Water","2.5","5.4","8","32.6","0.8","19.9","1.1","0.01"
"Tolo Harbour and Channel","TM4","2009-02-12","1","Bottom Water","0.6","6.2","8","32.6","0.7","19.9","1.3","0.01"
"Tolo Harbour and Channel","TM4","2009-03-25","1","Surface Water","8.5","7.7","8","32.1","7.1","21.1","1.4","0.03"
"Tolo Harbour and Channel","TM4","2009-03-25","1","Middle Water","6.5","7.7","8.1","32.5","7.4","21","1.2","0.03"
"Tolo Harbour and Channel","TM4","2009-03-25","1","Bottom Water","4.4","7.6","8.1","32.4","7.2","20.8","1.6","0.03"
"Tolo Harbour and Channel","TM4","2009-04-21","1","Surface Water","2.5","5.1","8","31.7","0.7","23.8","1.3","0.03"
"Tolo Harbour and Channel","TM4","2009-04-21","1","Middle Water","2.4","5.2","8","31.8","0.7","23.6","1","0.03"
"Tolo Harbour and Channel","TM4","2009-04-21","1","Bottom Water","3.8","5.2","7.9","32.9","1.2","22","1.9","0.07"
"Tolo Harbour and Channel","TM4","2009-05-27","1","Surface Water","4.9","5.2","7.9","27.2","1.8","26.5","2.3","0.19"
"Tolo Harbour and Channel","TM4","2009-05-27","1","Middle Water","4","5","7.8","29.3","0.9","26.5","1.4","0.17"
"Tolo Harbour and Channel","TM4","2009-05-27","1","Bottom Water","1.2","4.9","7.8","30.6","2.6","26.4","2.2","0.1"
"Tolo Harbour and Channel","TM4","2009-06-11","1","Surface Water","8.7","6.8","8","30.5","1.2","28.3","2.7","0.02"
"Tolo Harbour and Channel","TM4","2009-06-11","1","Middle Water","30","6.7","8","31.3","1.4","27.9","3.4","0.05"
"Tolo Harbour and Channel","TM4","2009-06-11","1","Bottom Water","3.8","5.2","7.8","32.2","1.7","27","1.7","0.04"
"Tolo Harbour and Channel","TM4","2009-07-24","1","Surface Water","2.9","6.4","8.4","29.8","9.2","29.7","2.8","0.01"
"Tolo Harbour and Channel","TM4","2009-07-24","1","Middle Water","4.8","4.5","8.2","31.8","8.8","27.6","2.4","0.02"
"Tolo Harbour and Channel","TM4","2009-07-24","1","Bottom Water","2.5","2.3","8.1","32.2","9.1","26.9","1.9","0.07"
"Tolo Harbour and Channel","TM4","2009-08-13","1","Surface Water","4.9","5.9","8.4","29.6","6.8","29.9","0.5","0.07"
"Tolo Harbour and Channel","TM4","2009-08-13","1","Middle Water","2.8","5","8.4","30.3","6.7","29.5","0.5","0.13"
"Tolo Harbour and Channel","TM4","2009-08-13","1","Bottom Water","2.3","2.2","8.2","31.6","6.5","27.6","0.6","0.19"
"Tolo Harbour and Channel","TM4","2009-09-21","1","Surface Water","4.2","8.6","8.2","29.3","0.8","30.9","1.4","0.01"
"Tolo Harbour and Channel","TM4","2009-09-21","1","Middle Water","4.6","8.2","8.1","30.2","0.7","30.5","1.3","0.02"
"Tolo Harbour and Channel","TM4","2009-09-21","1","Bottom Water","5.9","6.4","7.8","30.6","1.5","30","1.3","0.03"
"Tolo Harbour and Channel","TM4","2009-10-23","1","Surface Water","5.7","7.4","8.3","29.3","1.3","27.1","1.9","0.09"
"Tolo Harbour and Channel","TM4","2009-10-23","1","Middle Water","5.9","4.9","8.1","31.2","0.7","27.8","1.3","0.1"
"Tolo Harbour and Channel","TM4","2009-10-23","1","Bottom Water","4.2","4.8","8.1","31.7","1.2","27.5","1.7","0.11"
"Tolo Harbour and Channel","TM4","2009-11-20","1","Surface Water","4.2","6.7","8.1","32.1","2.8","20.8","4.8","0.1"
"Tolo Harbour and Channel","TM4","2009-11-20","1","Middle Water","4.4","6.7","8.1","32.1","2.8","20.8","4","0.1"
"Tolo Harbour and Channel","TM4","2009-11-20","1","Bottom Water","4.5","6.7","8.1","32.1","3","20.8","5.2","0.09"
"Tolo Harbour and Channel","TM4","2009-12-10","1","Surface Water","6.7","7.7","8.1","31.8","1.3","20.3","1.6","0.03"
"Tolo Harbour and Channel","TM4","2009-12-10","1","Middle Water","6.5","7.2","8","32.2","1.5","20.3","1.3","0.06"
"Tolo Harbour and Channel","TM4","2009-12-10","1","Bottom Water","6.5","6.4","8","32.4","1.3","20.3","1.4","0.06"
"Tolo Harbour and Channel","TM4","2010-01-25","1","Surface Water","1.5","7.1","7.8","31.9","0.8","17.6","1.2","0.08"
"Tolo Harbour and Channel","TM4","2010-01-25","1","Middle Water","2.1","7.2","7.8","31.9","1","17.6","<0.5","0.07"
"Tolo Harbour and Channel","TM4","2010-01-25","1","Bottom Water","2.1","6.5","7.8","32.1","1.3","17.7","3.5","0.06"
"Tolo Harbour and Channel","TM4","2010-02-24","1","Surface Water","1","5.7","8.1","31.6","4.4","16.6","1","0.14"
"Tolo Harbour and Channel","TM4","2010-02-24","1","Middle Water","1.2","7.8","8.1","31.6","4.4","16.5","0.9","0.12"
"Tolo Harbour and Channel","TM4","2010-02-24","1","Bottom Water","0.5","7","8.1","32.3","4.3","15.9","1.8","0.12"
"Tolo Harbour and Channel","TM4","2010-03-11","1","Surface Water","0.7","7.1","8.1","31.9","6.3","17.7","1.6","0.13"
"Tolo Harbour and Channel","TM4","2010-03-11","1","Middle Water","0.3","7.2","8.1","31.9","7.1","17.6","1","0.14"
"Tolo Harbour and Channel","TM4","2010-03-11","1","Bottom Water","0.4","7","8.1","32.1","6.7","17.7","1.3","0.12"
"Tolo Harbour and Channel","TM4","2010-04-22","1","Surface Water","5.4","9","7.8","32","1.2","21.8","1.8","0.08"
"Tolo Harbour and Channel","TM4","2010-04-22","1","Middle Water","5.8","9","7.7","32.4","1.6","20.8","2.9","0.08"
"Tolo Harbour and Channel","TM4","2010-04-22","1","Bottom Water","7.6","6.4","7.6","33","2.4","20","2.5","0.1"
"Tolo Harbour and Channel","TM4","2010-05-28","1","Surface Water","4.8","8.4","7.8","32.1","1","26.9","1.7","0.02"
"Tolo Harbour and Channel","TM4","2010-05-28","1","Middle Water","4.4","8.4","7.8","32.2","1","26.4","1.6","0.01"
"Tolo Harbour and Channel","TM4","2010-05-28","1","Bottom Water","3.9","7.8","7.8","32.5","1.1","25.7","1.9","0.01"
"Tolo Harbour and Channel","TM4","2010-06-21","1","Surface Water","6","5.3","7.9","32.5","0.9","27.8","1.3","0.01"
"Tolo Harbour and Channel","TM4","2010-06-21","1","Middle Water","5.8","5.7","7.9","32.5","0.9","27.8","1.2","0.02"
"Tolo Harbour and Channel","TM4","2010-06-21","1","Bottom Water","6.9","6.6","7.8","32.5","1.3","27.8","1.9","0.01"
"Tolo Harbour and Channel","TM4","2010-07-26","1","Surface Water","7.4","6.8","8.3","25.2","2.6","30.7","2.4","0.05"
"Tolo Harbour and Channel","TM4","2010-07-26","1","Middle Water","8.1","7.3","8.2","27","1.7","30.4","1.6","0.01"
"Tolo Harbour and Channel","TM4","2010-07-26","1","Bottom Water","2.5","6.4","8.1","30.8","1.2","29.7","1.2","0.05"
"Tolo Harbour and Channel","TM4","2010-08-12","1","Surface Water","1.8","7.3","8.5","29.6","2.4","30.5","0.5","0.03"
"Tolo Harbour and Channel","TM4","2010-08-12","1","Middle Water","1.1","6.9","8.4","30.9","2.2","29.8","<0.5","0.02"
"Tolo Harbour and Channel","TM4","2010-08-12","1","Bottom Water","0.9","4.8","8.2","31.4","2.3","29.1","0.6","0.02"
"Tolo Harbour and Channel","TM4","2010-09-16","1","Surface Water","11","5.8","8.6","26.9","1.2","30.4","2.8","0.04"
"Tolo Harbour and Channel","TM4","2010-09-16","1","Middle Water","9.7","8.4","8.4","29.9","1.7","29.9","2.5","0.02"
"Tolo Harbour and Channel","TM4","2010-09-16","1","Bottom Water","6.3","0.8","8","31.9","0.6","27.9","1","0.03"
"Tolo Harbour and Channel","TM4","2010-10-27","1","Surface Water","16","5.9","8.3","29.8","1.3","25.3","2.8","0.05"
"Tolo Harbour and Channel","TM4","2010-10-27","1","Middle Water","16","6.3","8.3","29.8","1.3","25.2","2.6","0.06"
"Tolo Harbour and Channel","TM4","2010-10-27","1","Bottom Water","14","5.8","8.3","29.9","1.6","25.4","2.8","0.07"
"Tolo Harbour and Channel","TM4","2010-11-24","1","Surface Water","6.4","7.1","8.1","30.9","0.9","23.2","1.3","0.04"
"Tolo Harbour and Channel","TM4","2010-11-24","1","Middle Water","8.5","7.4","8.1","30.9","1","23.2","0.9","0.04"
"Tolo Harbour and Channel","TM4","2010-11-24","1","Bottom Water","9.9","5.5","8.1","31.3","0.7","23.3","1.7","0.04"
"Tolo Harbour and Channel","TM4","2010-12-10","1","Surface Water","13","8.1","8.1","31.1","1.1","21.2","1.7","0.06"
"Tolo Harbour and Channel","TM4","2010-12-10","1","Middle Water","15","8","8.1","31.2","0.9","21.2","2","0.05"
"Tolo Harbour and Channel","TM4","2010-12-10","1","Bottom Water","10","7.5","8.1","31.3","0.9","21.2","1.8","0.06"
"Tolo Harbour and Channel","TM4","2011-01-24","1","Surface Water","2","7.8","7.9","32.2","0.6","15.5","1.2","0.04"
"Tolo Harbour and Channel","TM4","2011-01-24","1","Middle Water","2.3","7.8","7.9","32.3","0.6","15.3","1.2","0.04"
"Tolo Harbour and Channel","TM4","2011-01-24","1","Bottom Water","2.4","6.9","7.9","32.6","1.1","15.4","1.4","0.04"
"Tolo Harbour and Channel","TM4","2011-02-24","1","Surface Water","3","4.7","7.8","31.5","1.4","16.6","0.8","0.3"
"Tolo Harbour and Channel","TM4","2011-02-24","1","Middle Water","5.8","7.9","7.8","31.9","1.4","16.3","1.6","0.15"
"Tolo Harbour and Channel","TM4","2011-02-24","1","Bottom Water","2.4","6.7","7.8","32","1.1","15.8","1.1","0.16"
"Tolo Harbour and Channel","TM4","2011-03-25","1","Surface Water","8.8","8.9","8","31.5","0.9","18.5","<0.5","0.12"
"Tolo Harbour and Channel","TM4","2011-03-25","1","Middle Water","6.4","8.1","8","31.7","0.6","18.2","<0.5","0.12"
"Tolo Harbour and Channel","TM4","2011-03-25","1","Bottom Water","5.6","7","8","32.3","0.5","18","0.8","0.13"
"Tolo Harbour and Channel","TM4","2011-04-13","1","Surface Water","3.4","7.6","8","32.1","0.9","22.6","1.4","0.09"
"Tolo Harbour and Channel","TM4","2011-04-13","1","Middle Water","3.4","7.4","8","32.2","0.7","22.1","1.4","0.1"
"Tolo Harbour and Channel","TM4","2011-04-13","1","Bottom Water","3.5","4.6","7.9","32.7","2.3","20.3","0.9","0.09"
"Tolo Harbour and Channel","TM4","2011-05-19","1","Surface Water","4.6","7.3","7.9","32.2","1.3","26.4","0.7","0.04"
"Tolo Harbour and Channel","TM4","2011-05-19","1","Middle Water","5.1","6.8","7.9","32.6","1.3","26.1","1.8","0.05"
"Tolo Harbour and Channel","TM4","2011-05-19","1","Bottom Water","3","4.5","7.8","33","3.2","25.7","5.7","0.07"
"Tolo Harbour and Channel","TM4","2011-06-16","1","Surface Water","4.2","3.3","7.8","32.8","1.3","28.3","1.1","0.12"
"Tolo Harbour and Channel","TM4","2011-06-16","1","Middle Water","2.2","2.1","7.6","33.1","1.2","27.8","0.7","0.14"
"Tolo Harbour and Channel","TM4","2011-06-16","1","Bottom Water","1.4","1.1","7.6","33.3","1.3","26.6","0.6","0.15"
"Tolo Harbour and Channel","TM4","2011-07-13","1","Surface Water","6.1","4.3","8.1","31.3","1","28.2","1.3","0.06"
"Tolo Harbour and Channel","TM4","2011-07-13","1","Middle Water","7.4","4.1","8","32.1","1.2","27.7","1.6","0.06"
"Tolo Harbour and Channel","TM4","2011-07-13","1","Bottom Water","5.1","2.5","7.7","33.5","1.2","24.9","0.8","0.09"
"Tolo Harbour and Channel","TM4","2011-08-10","1","Surface Water","3.8","6.3","8.3","30.3","1.4","29.5","1.5","0.06"
"Tolo Harbour and Channel","TM4","2011-08-10","1","Middle Water","2.8","5.8","8.2","32.2","2.6","29.5","0.8","0.05"
"Tolo Harbour and Channel","TM4","2011-08-10","1","Bottom Water","1.8","3.6","8","33","0.7","26.6","1.4","0.07"
"Tolo Harbour and Channel","TM4","2011-09-15","1","Surface Water","4.4","7.6","8.3","32","1","30.2","0.9","0.05"
"Tolo Harbour and Channel","TM4","2011-09-15","1","Middle Water","3.4","6.9","8.2","32.5","0.7","29.9","1","0.04"
"Tolo Harbour and Channel","TM4","2011-09-15","1","Bottom Water","2.8","3.5","7.9","32.7","0.7","29.3","0.8","0.04"
"Tolo Harbour and Channel","TM4","2011-10-20","1","Surface Water","8.6","9.8","8.6","26","0.5","25.4","2","0.02"
"Tolo Harbour and Channel","TM4","2011-10-20","1","Middle Water","4.4","8.9","8.3","30.3","0.4","27","1.1","0.22"
"Tolo Harbour and Channel","TM4","2011-10-20","1","Bottom Water","3.9","2.2","7.9","32.1","0.2","26.5","2","0.24"
"Tolo Harbour and Channel","TM4","2011-11-23","1","Surface Water","13","4.7","8.1","27.8","1.2","23.3","2","0.05"
"Tolo Harbour and Channel","TM4","2011-11-23","1","Middle Water","8.3","4.4","8.1","27.8","1.3","23.3","1.6","0.05"
"Tolo Harbour and Channel","TM4","2011-11-23","1","Bottom Water","3.8","3.9","8","27.8","0.8","23.4","1","0.06"
"Tolo Harbour and Channel","TM4","2011-12-15","1","Surface Water","4.2","9","8","31.3","0.7","19.3","1.7","0.04"
"Tolo Harbour and Channel","TM4","2011-12-15","1","Middle Water","8","8.4","7.9","32","0.7","19.6","2.1","0.04"
"Tolo Harbour and Channel","TM4","2011-12-15","1","Bottom Water","7","7.2","7.9","32.2","0.6","19.8","1.1","0.03"
"Tolo Harbour and Channel","TM4","2012-01-27","1","Surface Water","3.1","7.7","8.1","30.8","1.1","15.3","1","0.13"
"Tolo Harbour and Channel","TM4","2012-01-27","1","Middle Water","4.4","7.7","8.1","30.8","1.1","15.4","0.6","0.13"
"Tolo Harbour and Channel","TM4","2012-01-27","1","Bottom Water","1.9","7.4","8.1","31","1.7","15.6","2.2","0.12"
"Tolo Harbour and Channel","TM4","2012-02-16","1","Surface Water","2.3","8","8.1","30.6","0.6","16.8","0.9","0.09"
"Tolo Harbour and Channel","TM4","2012-02-16","1","Middle Water","2.8","7.7","8.1","30.8","0.8","16.6","1.2","0.1"
"Tolo Harbour and Channel","TM4","2012-02-16","1","Bottom Water","1.9","6.2","8","31.1","2.7","16.1","1.4","0.11"
"Tolo Harbour and Channel","TM4","2012-03-22","1","Surface Water","9.9","10.5","8","29.8","0.9","19.8","4.3","0.1"
"Tolo Harbour and Channel","TM4","2012-03-22","1","Middle Water","9.8","11","7.9","30.2","0.7","19","2.5","0.09"
"Tolo Harbour and Channel","TM4","2012-03-22","1","Bottom Water","13","9.7","7.8","30.7","1","17.5","2.9","0.16"
